Kraj;Poradi;Kandidat;Jmeno1;Jmeno2;Titul1;Titul2;Titul3;Titul4;Titul5;Vek;Strana;Clen
Hl. m. Praha;3;Adámek František Bc.;Adámek;František;Bc.;;;;;58;ÈSSD;ÈSSD
Støedoèeskı;34;Alexa Šárka Bc.;Alexa;Šárka;Bc.;;;;;45;ÈSSD;ÈSSD
Ústeckı;25;Andrt Miroslav Mgr. Ing.;Andrt;Miroslav;Mgr.;Ing.;;;;35;ÈSSD;ÈSSD
Vysoèina;11;Antonín Pavel MUDr.;Antonín;Pavel;MUDr.;;;;;51;ÈSSD;ÈSSD
Olomouckı;15;Axman Stanislav Bc.;Axman;Stanislav;Bc.;;;;;56;ÈSSD;ÈSSD
Hl. m. Praha;35;Balabán Miloš PhDr. Ph.D.;Balabán;Miloš;PhDr.;Ph.D.;;;;51;ÈSSD;ÈSSD
Jihoèeskı;13;Bastlová Olga Ing.;Bastlová;Olga;Ing.;;;;;43;ÈSSD;ÈSSD
Plzeòskı;13;Baum Josef Mgr.;Baum;Josef;Mgr.;;;;;67;ÈSSD;ÈSSD
Jihoèeskı;17;Bednarèík Petr Ing.;Bednarèík;Petr;Ing.;;;;;52;ÈSSD;ÈSSD
Vysoèina;1;Dietz Jiøí;Bìhounek;Jiøí;MUDr.;;;;;61;ÈSSD;BEZPP
Hl. m. Praha;9;Beòák David Mgr. DiS.;Beòák;David;Mgr.;DiS.;;;;34;ÈSSD;ÈSSD
Ústeckı;5;Benešová Marie Mgr.;Benešová;Marie;Mgr.;;;;;65;ÈSSD;BEZPP
Zlínskı;15;Berèík Milan;Berèík;Milan;;;;;;28;ÈSSD;ÈSSD
Pardubickı;9;Bernášek Bohumil Ing.;Bernášek;Bohumil;Ing.;;;;;60;ÈSSD;ÈSSD
Královéhradeckı;4;Birke Jan;Birke;Jan;;;;;;44;ÈSSD;ÈSSD
Olomouckı;17;Bitara Augustín Ing.;Bitara;Augustín;Ing.;;;;;69;ÈSSD;ÈSSD
Jihomoravskı;14;Blaík Pavel Mgr.;Blaík;Pavel;Mgr.;;;;;31;ÈSSD;ÈSSD
Jihoèeskı;2;Bohdalová Vlasta Mgr.;Bohdalová;Vlasta;Mgr.;;;;;56;ÈSSD;ÈSSD
Královéhradeckı;2;Böhnisch Robin PhDr.;Böhnisch;Robin;PhDr.;;;;;36;ÈSSD;ÈSSD
Jihomoravskı;9;Bortel Michal JUDr.;Bortel;Michal;JUDr.;;;;;32;ÈSSD;ÈSSD
Støedoèeskı;24;Brabcová Václava Bc. DiS.;Brabcová;Václava;Bc.;DiS.;;;;51;ÈSSD;ÈSSD
Ústeckı;24;Brabec Zdenìk;Brabec;Zdenìk;;;;;;56;ÈSSD;ÈSSD
Jihomoravskı;25;Branèík Jaromír;Branèík;Jaromír;;;;;;55;ÈSSD;ÈSSD
Ústeckı;10;Briestenská Anna MUDr.;Briestenská;Anna;MUDr.;;;;;66;ÈSSD;ÈSSD
Jihomoravskı;11;Brtníèek Miloslav Mgr.;Brtníèek;Miloslav;Mgr.;;;;;51;ÈSSD;ÈSSD
Moravskoslezskı;18;Brunclík Michal Ing.;Brunclík;Michal;Ing.;;;;;34;ÈSSD;ÈSSD
Plzeòskı;7;Budková Svìtlana Bc.;Budková;Svìtlana;Bc.;;;;;32;ÈSSD;ÈSSD
Jihomoravskı;15;Cikán Josef Bc.;Cikán;Josef;Bc.;;;;;59;ÈSSD;ÈSSD
Karlovarskı;11;Cingroš Štìpán;Cingroš;Štìpán;;;;;;36;ÈSSD;ÈSSD
Ústeckı;22;Csonka Pavel;Csonka;Pavel;;;;;;48;ÈSSD;ÈSSD
Vysoèina;2;Èernı Karel;Èernı;Karel;;;;;;48;ÈSSD;ÈSSD
Plzeòskı;18;Èernı Michal Mgr.;Èernı;Michal;Mgr.;;;;;37;ÈSSD;ÈSSD
Vysoèina;4;Èernı Vladimír Ing.;Èernı;Vladimír;Ing.;;;;;52;ÈSSD;ÈSSD
Ústeckı;4;Èervenka Petr;Èervenka;Petr;;;;;;63;ÈSSD;ÈSSD
Støedoèeskı;26;Èíková Taána;Èíková;Taána;;;;;;41;ÈSSD;ÈSSD
Moravskoslezskı;21;Dìdicová Danuše Bc.;Dìdicová;Danuše;Bc.;;;;;61;ÈSSD;ÈSSD
Karlovarskı;13;Dietz Jiøí;Dietz;Jiøí;;;;;;47;ÈSSD;ÈSSD
Støedoèeskı;4;Dolejš Richard;Dolejš;Richard;;;;;;43;ÈSSD;ÈSSD
Vysoèina;17;Doleal Jaroslav;Doleal;Jaroslav;;;;;;65;ÈSSD;ÈSSD
Jihomoravskı;20;Dolealová Kvìtuše Mgr.;Dolealová;Kvìtuše;Mgr.;;;;;54;ÈSSD;ÈSSD
Královéhradeckı;14;Dörner František;Dörner;František;;;;;;71;ÈSSD;ÈSSD
Pardubickı;2;Dostálová Jitka Ing.;Dostálová;Jitka;Ing.;;;;;42;ÈSSD;ÈSSD
Plzeòskı;16;Draxal Jiøí Ing.;Draxal;Jiøí;Ing.;;;;;51;ÈSSD;ÈSSD
Jihomoravskı;10;Dufek Zdenìk JUDr. Ing. Ph.D.;Dufek;Zdenìk;JUDr.;Ing.;Ph.D.;;;35;ÈSSD;ÈSSD
Zlínskı;16;Dufka František Ing.;Dufka;František;Ing.;;;;;54;ÈSSD;ÈSSD
